UserID,Tel,Address
U000001,080-xxxx-xxxx,5
U000002,080-xxxx-xxxx,32
U000003,080-xxxx-xxxx,21
U000004,080-xxxx-xxxx,25
U000005,090-xxxx-xxxx,36
U000006,080-xxxx-xxxx,46
U000007,080-xxxx-xxxx,20
U000008,080-xxxx-xxxx,5
U000009,080-xxxx-xxxx,32
U000010,090-xxxx-xxxx,23
U000011,090-xxxx-xxxx,41
U000012,080-xxxx-xxxx,16
U000013,080-xxxx-xxxx,41
U000014,080-xxxx-xxxx,43
U000015,090-xxxx-xxxx,20
U000016,090-xxxx-xxxx,16
U000017,080-xxxx-xxxx,25
U000018,090-xxxx-xxxx,31
U000019,090-xxxx-xxxx,26
U000020,080-xxxx-xxxx,17
U000021,080-xxxx-xxxx,33
U000022,090-xxxx-xxxx,16
U000023,080-xxxx-xxxx,13
U000024,080-xxxx-xxxx,18
U000025,080-xxxx-xxxx,24
U000026,080-xxxx-xxxx,10
U000027,090-xxxx-xxxx,23
U000028,090-xxxx-xxxx,16
U000029,080-xxxx-xxxx,11
U000030,090-xxxx-xxxx,35
U000031,090-xxxx-xxxx,39
U000032,080-xxxx-xxxx,9
U000033,090-xxxx-xxxx,5
U000034,090-xxxx-xxxx,7
U000035,090-xxxx-xxxx,46
U000036,090-xxxx-xxxx,6
U000037,090-xxxx-xxxx,25
U000038,090-xxxx-xxxx,25
U000039,090-xxxx-xxxx,15
U000040,080-xxxx-xxxx,8
U000041,080-xxxx-xxxx,40
U000042,090-xxxx-xxxx,21
U000043,090-xxxx-xxxx,43
U000044,090-xxxx-xxxx,1
U000045,080-xxxx-xxxx,26
U000046,080-xxxx-xxxx,36
U000047,090-xxxx-xxxx,11
U000048,090-xxxx-xxxx,10
U000049,080-xxxx-xxxx,9
U000050,080-xxxx-xxxx,37
U000051,090-xxxx-xxxx,34
U000052,080-xxxx-xxxx,14
U000053,080-xxxx-xxxx,11
U000054,090-xxxx-xxxx,19
U000055,090-xxxx-xxxx,4
U000056,080-xxxx-xxxx,40
U000057,080-xxxx-xxxx,7
U000058,080-xxxx-xxxx,38
U000059,090-xxxx-xxxx,20
U000060,080-xxxx-xxxx,19
U000061,090-xxxx-xxxx,16
U000062,090-xxxx-xxxx,41
U000063,090-xxxx-xxxx,2
U000064,080-xxxx-xxxx,7
U000065,090-xxxx-xxxx,37
U000066,080-xxxx-xxxx,1
U000067,080-xxxx-xxxx,5
U000068,080-xxxx-xxxx,47
U000069,090-xxxx-xxxx,17
U000070,080-xxxx-xxxx,34
U000071,080-xxxx-xxxx,6
U000072,090-xxxx-xxxx,19
U000073,080-xxxx-xxxx,24
U000074,080-xxxx-xxxx,18
U000075,080-xxxx-xxxx,32
U000076,080-xxxx-xxxx,34
U000077,080-xxxx-xxxx,12
U000078,080-xxxx-xxxx,1
U000079,090-xxxx-xxxx,29
U000080,080-xxxx-xxxx,3
U000081,080-xxxx-xxxx,33
U000082,090-xxxx-xxxx,15
U000083,090-xxxx-xxxx,39
U000084,080-xxxx-xxxx,38
U000085,080-xxxx-xxxx,19
U000086,080-xxxx-xxxx,39
U000087,080-xxxx-xxxx,28
U000088,090-xxxx-xxxx,40
U000089,080-xxxx-xxxx,36
U000090,090-xxxx-xxxx,35
U000091,090-xxxx-xxxx,31
